"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName"
"237",40,2008,575.127106203328,"Cultivated","Pasto","Pasture"
"238",51,2008,27.1616446882776,"Cultivated","Palma Africana","African palm"
"239",52,2008,221.719115263081,"Cultivated","Palma de Coco","Coco Palm"
"240",53,2008,2290.11766230792,"Cultivated","Café y Cacao","Coffee and Cacao"
"241",59,2008,3857.38905088261,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"242",65,2008,17.0809412302471,"Unvegetated","Lagunos o lagos","Lake"
"243",72,2008,12.2258487864676,"Unvegetated","Areas pobladas","Populated areas"
"244",1,2009,1555.87395695404,"Forest","Bosque conifero denso","Dense conifer forest"
"245",2,2009,601.849188597338,"Forest","Bosque conifero abierto","Open conifer forest"
"246",4,2009,924.247863223018,"Forest","Bosque latifoliado nublado","Wet broadleaf forest"
"247",6,2009,2459.94659324508,"Forest","Bosque latifoliado humedo","Moist broadleaf forest"
"248",8,2009,1421.57523736426,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest"
"249",9,2009,2049.63577969404,"Forest","Bosque seco","Dry forest"
"250",12,2009,9.69220212190124,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands"
"251",13,2009,111.886604715086,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands"
"252",14,2009,34.2357368795941,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands"
"253",16,2009,1620.80546690809,"Shrubland","Matorral latifoliado","Broadleaf matorral"
"254",20,2009,932.53865544226,"Shrubland","Matorral seco","Dry matorral"
"255",21,2009,9.26863018892053,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral"
"256",24,2009,3.17834619220068,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands"
"257",26,2009,4.43946609641858,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh"
"258",27,2009,26.5568340904355,"Grassland","Sabana de pajon","Sabana de pajon"
"259",33,2009,5.10269582580701,"Wetland","Eneal","Cattail marsh"
"260",35,2009,97.4235395377335,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas"
"261",37,2009,702.70758536655,"Cultivated","Cultivos intensivos","Cultivated land"
"262",38,2009,465.168116370845,"Cultivated","Caña","Sugar cane"
"263",39,2009,264.416642053231,"Cultivated","Arroz","Rice"
"264",40,2009,569.208987234426,"Cultivated","Pasto","Pasture"
"265",51,2009,23.7924742001056,"Cultivated","Palma Africana","African palm"
"266",52,2009,220.663187611939,"Cultivated","Palma de Coco","Coco Palm"
"267",53,2009,2279.84023430162,"Cultivated","Café y Cacao","Coffee and Cacao"
"268",59,2009,3832.61303668922,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture"
"269",65,2009,17.0538002446465,"Unvegetated","Lagunos o lagos","Lake"
