"","landCoverCode","year","sqKm","landCoverCategory","landCoverNameSp","landCoverName","sqKmNoFire"
"113","8",2004,1493.29976686034,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1493.39974985271
"114","9",2004,2127.06604939753,"Forest","Bosque seco","Dry forest",2127.54715604237
"115","12",2004,10.0057039920691,"Wetland","Bosque humedales salobres temporalmente inundado","Temporarily flooded forested brackish wetlands",10.0057039920691
"116","13",2004,112.256032740818,"Wetland","Bosque humedales salobres permanentemente inundado","Permanently flooded forested brackish wetlands",112.256032740818
"117","14",2004,34.4407416040308,"Wetland","Bosque humedales de agua dulce","Forested freshwater wetlands",34.4407416040308
"118","16",2004,1696.47670386717,"Shrubland","Matorral latifoliado","Broadleaf matorral",1696.89372860242
"119","20",2004,966.154810782353,"Shrubland","Matorral seco","Dry matorral",966.224661892888
"120","21",2004,9.36416971027979,"Shrubland","Matorral de humedales salobres","Brackish wetland matorral",9.36416971027979
"121","24",2004,3.18507558575842,"Wetland","Sabana de humedales salobres","Grassy brackish wetlands",3.18507558575842
"122","26",2004,4.54398111034924,"Wetland","Sabana humedales de agua aulce","Grassy freshwater marsh",4.54398111034924
"123","27",2004,27.2834900179526,"Grassland","Sabana de pajon","Sabana de pajon",27.5830189108287
"124","33",2004,5.59221931886853,"Wetland","Eneal","Cattail marsh",5.59221931886853
"125","35",2004,100.163336031629,"Unvegetated","Escasa vegetación o area erosionada","Unvegetated or eroded areas",100.183694060255
"126","37",2004,735.170878330297,"Cultivated","Cultivos intensivos","Cultivated land",735.234400012609
"127","38",2004,480.586888414864,"Cultivated","Caña","Sugar cane",480.738733018074
"128","39",2004,274.120096806083,"Cultivated","Arroz","Rice",274.120096806083
"129","40",2004,606.480088254671,"Cultivated","Pasto","Pasture",606.491969371736
"130","51",2004,30.4606768177155,"Cultivated","Palma Africana","African palm",30.4606768177155
"131","52",2004,227.932893125311,"Cultivated","Palma de Coco","Coco Palm",227.932893125311
"132","53",2004,2343.62303014239,"Cultivated","Café y Cacao","Coffee and Cacao",2343.68996788183
"133","59",2004,3987.53388589233,"Cultivated","Agricultura de Subsistencia y Pasto","Subsistence agriculture or pasture",3988.86337547851
"134","65",2004,17.3312161074401,"Unvegetated","Lagunos o lagos","Lake",17.3312161074401
"135","72",2004,12.5027800279181,"Unvegetated","Areas pobladas","Populated areas",12.5027800279181
"136","1",2005,1579.38092916376,"Forest","Bosque conifero denso","Dense conifer forest",1629.80312471725
"137","2",2005,613.39234737207,"Forest","Bosque conifero abierto","Open conifer forest",629.433795481724
"138","4",2005,934.564231316265,"Forest","Bosque latifoliado nublado","Wet broadleaf forest",940.412261766003
"139","6",2005,2509.30510753144,"Forest","Bosque latifoliado humedo","Moist broadleaf forest",2513.06164253217
"140","8",2005,1479.61395915872,"Forest","Bosque latifoliado semi-humedo","Semi-moist broadleaf forest",1479.82069459738
