"","landCoverCode","sqKmLost","year","landCoverName","landCoverNameSp","landCoverCategory","sqKmBurned","sqKmLossNonFire"
"207","37",7.32154754811344,2008,"Cultivated land","Cultivos intensivos","Cultivated",0.0288050575561523,7.29274249055729
"208","38",3.28662927885524,2008,"Sugar cane","Caña","Cultivated",0.0212180331420898,3.26541124571315
"209","39",2.79392820702834,2008,"Rice","Arroz","Cultivated",0,2.79392820702834
"210","40",10.5695636431754,2008,"Pasture","Pasto","Cultivated",0,10.5695636431754
"211","51",1.32927018736084,2008,"African palm","Palma Africana","Cultivated",0,1.32927018736084
"212","52",2.31591637873144,2008,"Coco Palm","Palma de Coco","Cultivated",0,2.31591637873144
"213","53",17.4461188637797,2008,"Coffee and Cacao","Café y Cacao","Cultivated",0.00931406506347656,17.4368047987162
"214","59",38.6099151172604,2008,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.494294078918457,38.1156210383419
"215","65",0.105282718015671,2008,"Lake","Lagunos o lagos","Unvegetated",0,0.105282718015671
"216","72",0.0844355400274658,2008,"Populated areas","Areas pobladas","Unvegetated",0,0.0844355400274658
"217","1",4.09712406916024,2009,"Dense conifer forest","Bosque conifero denso","Forest",0.000845804748535156,4.0962782644117
"218","2",1.86599064005028,2009,"Open conifer forest","Bosque conifero abierto","Forest",0.03657315625,1.82941748380028
"219","4",1.5016417931692,2009,"Wet broadleaf forest","Bosque latifoliado nublado","Forest",0.000845808776855469,1.50079598439234
"220","6",10.503217789838,2009,"Moist broadleaf forest","Bosque latifoliado humedo","Forest",0.00850029705810547,10.4947174927799
"221","8",13.6941228249539,2009,"Semi-moist broadleaf forest","Bosque latifoliado semi-humedo","Forest",0.0118682026367187,13.6822546223172
"222","9",15.8168090797151,2009,"Dry forest","Bosque seco","Forest",0.162172851745605,15.6546362279695
"223","12",0.0215080905444336,2009,"Temporarily flooded forested brackish wetlands","Bosque humedales salobres temporalmente inundado","Wetland",0,0.0215080905444336
"224","13",0.036967609241333,2009,"Permanently flooded forested brackish wetlands","Bosque humedales salobres permanentemente inundado","Wetland",0,0.036967609241333
"225","14",0.0360467263299561,2009,"Forested freshwater wetlands","Bosque humedales de agua dulce","Wetland",0,0.0360467263299561
"226","16",11.2568955062301,2009,"Broadleaf matorral","Matorral latifoliado","Shrubland",0.00339373364257813,11.2535017725875
"227","20",6.02547049875432,2009,"Dry matorral","Matorral seco","Shrubland",0.00848265539550781,6.01698784335881
"228","21",0.0245247185150146,2009,"Brackish wetland matorral","Matorral de humedales salobres","Shrubland",0,0.0245247185150146
"229","24",0.00134475499389648,2009,"Grassy brackish wetlands","Sabana de humedales salobres","Wetland",0,0.00134475499389648
"230","26",0.0206086538604736,2009,"Grassy freshwater marsh","Sabana humedales de agua aulce","Wetland",0,0.0206086538604736
"231","27",0.0630394228619385,2009,"Sabana de pajon","Sabana de pajon","Grassland",0,0.0630394228619385
"232","33",0.0318367685778809,2009,"Cattail marsh","Eneal","Wetland",0,0.0318367685778809
"233","35",0.652617801741124,2009,"Unvegetated or eroded areas","Escasa vegetación o area erosionada","Unvegetated",0,0.652617801741124
"234","37",5.13446014143281,2009,"Cultivated land","Cultivos intensivos","Cultivated",0.0373547090454102,5.0971054323874
"235","38",2.48106191151382,2009,"Sugar cane","Caña","Cultivated",0.0297051697387695,2.45135674177505
"236","39",1.76073184002884,2009,"Rice","Arroz","Cultivated",0.0177591680297852,1.74297267199906
"237","40",5.91811896890254,2009,"Pasture","Pasto","Cultivated",0.00339570251464844,5.91472326638789
"238","51",3.36917048817198,2009,"African palm","Palma Africana","Cultivated",0,3.36917048817198
"239","52",1.05592765114258,2009,"Coco Palm","Palma de Coco","Cultivated",0,1.05592765114258
"240","53",10.2774280062926,2009,"Coffee and Cacao","Café y Cacao","Cultivated",0,10.2774280062926
"241","59",24.7760141933904,2009,"Subsistence agriculture or pasture","Agricultura de Subsistencia y Pasto","Cultivated",0.047462107421875,24.7285520859685
"242","65",0.0271409856005859,2009,"Lake","Lagunos o lagos","Unvegetated",0,0.0271409856005859
"243","72",0.0502184646759033,2009,"Populated areas","Areas pobladas","Unvegetated",0,0.0502184646759033
